px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.8077	0.210206	-2.77378	-0.386205	1.20164	9.74695	0.0464954	9.75	0.0500011	-2.73174	0.910584	3553.39
9.64858	0.258008	-2.89306	-0.311507	1.22322	9.50401	0.0833188	9.6	0.100001	-2.99544	0.998471	1067.78
9.50152	0.259601	-2.86126	-0.224944	1.2504	9.45825	0.149456	9.45	0.15	-2.99545	0.998471	3356.49
9.38998	0.249968	-2.57467	-0.14583	1.25191	9.22819	0.16178	9.35	0.15	-1.81963	0	954.677
9.2488	0.233432	-2.55054	-0.0558233	1.2749	9.24456	0.139817	9.25	0.15	-1.81962	0	3201.85
9.09841	0.247944	-2.68002	0.00305402	1.27142	9.0729	0.205961	9.1	0.2	-3.00059	1.0002	975.88
8.96461	0.245242	-2.68136	0.0653812	1.27007	8.96281	0.250937	8.95	0.25	-3.0006	1.0002	3019.13
8.81995	0.241705	-2.75139	0.121488	1.26249	8.84168	0.257617	8.8	0.25	-2.99995	0	928.693
8.68017	0.226693	-2.75889	0.180859	1.25812	8.65606	0.24536	8.65	0.25	-2.99994	0	2821.75
8.53376	0.20652	-2.80651	0.236129	1.24909	8.43549	0.247188	8.5	0.25	-2.99323	0	849.288
8.39041	0.189074	-2.81732	0.284432	1.23346	8.34184	0.250769	8.35	0.25	-2.9932	0	2624.44
8.24809	0.149439	-2.79801	0.346687	1.2283	8.27073	0.243988	8.2	0.25	-2.73233	0	807.036
8.09669	0.134734	-2.79729	0.382293	1.19479	8.03847	0.260731	8.05	0.25	-2.73234	0	2429.47
7.95362	0.102311	-2.87093	0.41679	1.16546	7.98053	0.204587	7.9	0.2	-3.00234	-1.00078	769.896
7.8115	0.0672401	-2.87524	0.454168	1.14335	7.73327	0.149199	7.75	0.15	-3.00231	-1.00077	2250.07
7.64556	0.0357969	-3.01658	0.467187	1.08913	7.46173	0.143776	7.6	0.15	-2.99599	0	697.688
7.50574	0.0105548	-2.99189	0.487948	1.05448	7.45455	0.149294	7.45	0.15	-2.99596	0	2091.37
7.40372	-0.0721923	-2.80229	0.571693	1.09344	7.37986	0.0951006	7.35	0.100001	-1.81801	-0.908998	621.76
7.27765	-0.104196	-2.75033	0.594783	1.0561	7.26713	0.055036	7.25	0.0500011	-1.81801	-0.908998	1980.06
7.12941	-0.152417	-2.85601	0.603903	0.99352	7.32548	-0.0461763	7.1	-0.0499995	-2.72495	-1.81664	659.147
6.99279	-0.217205	-2.83988	0.638021	0.972555	6.93127	-0.133333	6.95	-0.15	-2.72492	-1.81662	1795.98
6.94633	-0.34313	-2.57234	0.764088	1.07545	7.09668	-0.264116	6.9	-0.25	-0.910634	-1.82126	552.894
6.84911	-0.418263	-2.53903	0.808	1.06044	6.84796	-0.34284	6.85	-0.35	-0.910622	-1.82124	1755.71
6.68458	-0.449584	-2.76149	0.74972	0.904214	6.64638	-0.45061	6.7	-0.45	-2.99641	-1.99759	581.248
6.57995	-0.544379	-2.76665	0.792035	0.901184	6.54772	-0.536719	6.55	-0.549999	-2.99637	-1.99757	1614.96
6.52093	-0.693503	-2.65552	0.907442	0.994138	6.50462	-0.718	6.5	-0.7	-0.909955	-2.72986	480.522
6.43713	-0.820253	-2.66702	0.968111	1.00012	6.45451	-0.851695	6.45	-0.85	-0.909955	-2.72986	1584.11
6.39536	-0.969828	-2.63779	1.07365	1.07882	6.42547	-0.999512	6.4	-1	-0.999224	-2.99766	480.129
6.33757	-1.10411	-2.66432	1.13635	1.08711	6.3554	-1.1624	6.35	-1.15	-0.99921	-2.99763	1565.63
6.27102	-1.24524	-2.68667	1.19321	1.0821	6.14523	-1.27904	6.3	-1.3	-0.908722	-2.72618	469.358
6.2209	-1.39942	-2.71517	1.25877	1.08737	6.2299	-1.45381	6.25	-1.45	-0.908718	-2.72616	1531.06
6.25198	-1.63632	-2.827	1.45146	1.2833	6.37158	-1.60661	6.3	-1.6	0.910485	-2.73144	520.641
6.25755	-1.77994	-2.79196	1.52876	1.29105	6.34473	-1.75136	6.35	-1.75	0.910481	-2.73144	1616.76
6.26177	-1.91435	-2.77874	1.59581	1.29444	6.34	-1.88987	6.35	-1.9	0	-2.99515	544.425
6.28487	-2.04821	-2.76085	1.66862	1.30298	6.35828	-2.03886	6.35	-2.05	0	-2.99515	1668.14
6.29831	-2.17519	-2.67597	1.72183	1.27146	6.45002	-2.23466	6.35	-2.2	0	-2.72856	602.582
6.32742	-2.32344	-2.68333	1.79302	1.27223	6.34057	-2.34076	6.35	-2.35	0	-2.72854	1706.5
6.37917	-2.48906	-2.76576	1.87876	1.29561	6.4979	-2.56206	6.4	-2.5	0.908227	-2.7247	665.456
6.43364	-2.63532	-2.7718	1.9519	1.29694	6.45265	-2.65056	6.45	-2.65	0.908223	-2.72467	1814.45
6.44888	-2.70983	-2.43782	1.97781	1.21887	6.46538	-2.81029	6.45	-2.8	0	-2.72732	692.452
6.49384	-2.85491	-2.48094	2.03203	1.20322	6.45762	-2.94003	6.45	-2.95	0	-2.7273	1877.94
6.5534	-3.00789	-2.59318	2.09132	1.20088	6.36717	-3.08903	6.5	-3.15	0.909078	-3.6363	750.398
6.60604	-3.17576	-2.66731	2.12907	1.16772	6.54349	-3.33906	6.55	-3.35	0.90907	-3.63626	2011.37
6.66674	-3.30672	-2.61686	2.17288	1.13928	6.6454	-3.53435	6.6	-3.5	0.910038	-2.7301	848.958
6.72504	-3.47909	-2.69498	2.19757	1.09629	6.65608	-3.67065	6.65	-3.65	0.910033	-2.7301	2151.25
6.78503	-3.59968	-2.59227	2.23312	1.06226	6.70981	-3.81998	6.7	-3.8	0.908095	-2.7243	909.496
6.84115	-3.7695	-2.6595	2.24483	1.01132	6.74422	-3.95901	6.75	-3.95	0.908091	-2.72428	2274.95
6.89371	-3.87691	-2.50329	2.27242	0.974107	6.72525	-4.05329	6.8	-4.1	0.910949	-2.73284	956.17
6.9454	-4.04705	-2.56777	2.27086	0.915532	6.83817	-4.25449	6.85	-4.25	0.910945	-2.73284	2411.21
6.98459	-4.13255	-2.36213	2.28969	0.878511	6.86491	-4.32753	6.9	-4.35	0.999834	-1.99968	1021.43
7.0328	-4.27592	-2.41055	2.28751	0.830119	6.94879	-4.45387	6.95	-4.45	0.999829	-1.99966	2542.5
7.12883	-4.41243	-2.62427	2.31816	0.825685	6.99339	-4.57763	7.05	-4.6	1.99653	-2.99479	1121.51
7.19454	-4.56698	-2.67749	2.31371	0.777536	7.14339	-4.76622	7.15	-4.75	1.99653	-2.99479	2759.73
7.25256	-4.65851	-2.53559	2.3327	0.752308	7.11889	-4.79341	7.2	-4.85	1.00098	-2.00196	1152.15
7.3169	-4.79598	-2.57059	2.33104	0.711627	7.25883	-4.94719	7.25	-4.95	1.00097	-2.00194	2894.04
7.39354	-4.90443	-2.50589	2.35198	0.691005	7.28536	-5.09276	7.3	-5.1	0.90969	-2.72906	1234.22
7.45054	-5.06422	-2.54061	2.33216	0.632072	7.33925	-5.24908	7.35	-5.25	0.909677	-2.72904	3044.63
7.56346	-5.20327	-2.81387	2.35503	0.629979	7.33914	-5.30864	7.45	-5.4	1.99976	-2.99964	1327.87
7.62892	-5.3647	-2.85159	2.33249	0.574808	7.5499	-5.55354	7.55	-5.55	1.99976	-2.99964	3291.42
7.68641	-5.45769	-2.6539	2.33933	0.547343	7.59167	-5.64447	7.6	-5.65	1.00038	-2.00076	1381.75
7.74323	-5.60091	-2.6733	2.32041	0.500495	7.64483	-5.73357	7.65	-5.75	1.00037	-2.00074	3427.16
7.84648	-5.73093	-2.7777	2.33789	0.492764	7.6402	-5.81769	7.75	-5.9	1.81659	-2.7249	1452.36
7.91899	-5.89608	-2.80663	2.31602	0.443232	7.84396	-6.051	7.85	-6.05	1.81659	-2.7249	3670.9
7.9753	-5.98864	-2.54022	2.31979	0.416599	7.91394	-6.15143	7.9	-6.15	0.909251	-1.81851	1520.55
8.03587	-6.13793	-2.55914	2.29847	0.372309	7.95018	-6.25957	7.95	-6.25	0.909247	-1.81849	3819.57
8.13265	-6.25628	-2.60767	2.31331	0.367437	8.10134	-6.38026	8.05	-6.35	1.81576	-1.81577	1609.98
8.20956	-6.38875	-2.61836	2.30787	0.34188	8.15891	-6.45832	8.15	-6.45	1.81577	-1.81577	4030.82
8.3245	-6.51862	-2.75307	2.32506	0.342444	8.3424	-6.65648	8.25	-6.6	1.8218	-2.73269	1709.26
8.40078	-6.66249	-2.76464	2.31101	0.309739	8.33273	-6.74641	8.35	-6.75	1.8218	-2.73269	4272.99
8.4862	-6.77464	-2.68258	2.31667	0.296736	8.46635	-6.96022	8.4	-6.9	0.907987	-2.72401	1779.06
8.54586	-6.92992	-2.69539	2.28682	0.250722	8.44383	-7.03914	8.45	-7.05	0.907988	-2.72398	4487.05
8.63081	-7.04999	-2.67128	2.28852	0.23804	8.53661	-7.23635	8.5	-7.2	0.910054	-2.73014	1859.21
8.67683	-7.22214	-2.69242	2.24299	0.179653	8.55761	-7.36836	8.55	-7.35	0.910046	-2.73012	4731.74
8.7613	-7.34026	-2.73108	2.24622	0.174668	8.70486	-7.48959	8.65	-7.45	1.99827	-1.99828	1949.9
8.82031	-7.47833	-2.74325	2.22475	0.144506	8.7565	-7.55536	8.75	-7.55	1.99828	-1.99828	4984.37
